component,Accuracy,Macro F1,Precision,Recall,F1,Diversity
Distractor Ranker (LR Ranker),0.6228138396752533,0.5964669929677915,0.7512318137730359,0.36727996965098636,,
Distractor Ranker (RF Ranker),0.7780359649455594,0.7726875315942302,0.9011301754097912,0.6246206373292867,,
Hint Scorer,0.8657030672053718,0.8355087190102692,0.8675516899366751,0.9479783243017924,,
Distractor Pipeline,1.0,,0.04733333331755555,0.0489999999835,0.04815224861896654,0.9737013486544724
